filename,throttle,steering
road_000.jpg,0.06849128,0.94604141
road_001.jpg,0.06852418,0.94400197
road_002.jpg,0.06849080,0.94548959
road_003.jpg,0.06859764,0.94253153
road_004.jpg,0.06861049,0.94243246
road_005.jpg,0.06233464,0.93486458
road_006.jpg,0.05952398,0.93057299
road_007.jpg,0.05794311,0.96884954
road_008.jpg,0.06764972,0.90327746
road_009.jpg,0.07332705,0.79306674
road_010.jpg,0.07622787,0.78729975
road_011.jpg,0.07753444,0.85963643
road_012.jpg,0.06792894,0.82331955
road_013.jpg,0.06073013,0.71657223
road_014.jpg,0.06410252,0.79782903
road_015.jpg,0.06194517,0.79337966
road_016.jpg,0.06558311,0.78171408
road_017.jpg,0.06360199,0.75830400
road_018.jpg,0.06904973,0.84800386
road_019.jpg,0.06404164,0.85567248
road_020.jpg,0.05858535,0.99380416
road_021.jpg,0.06906481,0.89993376
road_022.jpg,0.08129188,0.87396181
road_023.jpg,0.06792253,0.97767448
road_024.jpg,0.06513152,0.97819144
road_025.jpg,0.06017613,0.98913962
road_026.jpg,0.05872220,1.00000000
road_027.jpg,0.05904746,1.00000000
road_028.jpg,0.08127818,0.72215128
road_029.jpg,0.06943658,0.94601399
road_030.jpg,0.08470602,0.82705855
road_031.jpg,0.08297500,0.83931363
road_032.jpg,0.08863834,0.80519176
road_033.jpg,0.08943659,0.88675696
road_034.jpg,0.09273010,0.87257671
road_035.jpg,0.08086643,0.90914255
road_036.jpg,0.07453768,0.91366100
road_037.jpg,0.06554487,0.95463943
road_038.jpg,0.10705131,0.40003052
road_039.jpg,0.09240785,0.59709793
road_040.jpg,0.06825365,0.44225368
road_041.jpg,0.07713509,0.28817275
road_042.jpg,0.07886046,0.29239625
road_043.jpg,0.07990581,0.31080100
road_044.jpg,0.05008432,0.37770844
road_045.jpg,0.03910501,0.41751054
road_046.jpg,0.04378976,0.38514748
road_047.jpg,0.05243076,0.25416699
road_048.jpg,0.01098548,0.56596398
road_049.jpg,0.07436216,0.28904262
road_050.jpg,0.10049662,0.09063283
road_051.jpg,0.14369980,-0.26034892
road_052.jpg,0.21104491,-0.73410249
road_053.jpg,0.17935511,-0.11494759
road_054.jpg,0.29796460,-0.48854715
road_055.jpg,0.19407643,-0.02698698
road_056.jpg,0.27264762,-0.17554137
road_057.jpg,0.26566300,-0.04710564
road_058.jpg,0.35648412,-0.27059555
road_059.jpg,0.34023428,-0.18485811
road_060.jpg,0.34552324,-0.16697469
road_061.jpg,0.33995157,-0.16118544
road_062.jpg,0.30451554,-0.10857588
road_063.jpg,0.28471696,-0.02711613
road_064.jpg,0.24331358,0.08103609
road_065.jpg,0.23876084,0.05745896
road_066.jpg,0.17030978,0.14425218
road_067.jpg,0.16146895,0.12498683
road_068.jpg,0.16533990,0.10052487
road_069.jpg,0.14144620,0.14188010
road_070.jpg,0.14247283,0.08835948
road_071.jpg,0.13515157,-0.03810206
road_072.jpg,0.14221886,-0.13084728
road_073.jpg,0.13732947,-0.10524756
road_074.jpg,0.16443740,-0.36097103
road_075.jpg,0.21539573,-0.60855561
road_076.jpg,0.15431859,-0.28495020
road_077.jpg,0.13382733,-0.22401717
road_078.jpg,0.16086924,-0.38794771
road_079.jpg,0.21019624,-0.60181451
road_080.jpg,0.19866467,-0.53585070
road_081.jpg,0.38681975,-0.94051450
road_082.jpg,0.27978748,-0.61062956
road_083.jpg,0.39161667,-0.66895092
road_084.jpg,0.39350504,-0.66519678
road_085.jpg,0.32295993,-0.34819412
road_086.jpg,0.33710209,-0.40281063
road_087.jpg,0.34399599,-0.41368911
road_088.jpg,0.34462562,-0.41298965
road_089.jpg,0.34466612,-0.41181371
road_090.jpg,0.34366864,-0.41058928
road_091.jpg,0.34444389,-0.41155362
road_092.jpg,0.34600851,-0.41577113
road_093.jpg,0.34506264,-0.41330826
road_094.jpg,0.34477073,-0.41402388
road_095.jpg,0.34395885,-0.40819317
road_096.jpg,0.34818318,-0.43674356
road_097.jpg,0.34582657,-0.42657366
road_098.jpg,0.35498834,-0.50240749
road_099.jpg,0.30878207,-0.32878631
road_100.jpg,0.40652746,-0.92096126
road_101.jpg,0.40862441,-1.00000000
road_102.jpg,0.36195868,-0.74761879
road_103.jpg,0.41185930,-0.61636442
road_104.jpg,0.43160972,-0.35352978
road_105.jpg,0.30816826,0.20809832
road_106.jpg,0.29823434,0.32173535
road_107.jpg,0.42325509,-0.00514021
road_108.jpg,0.35583636,0.24035808
road_109.jpg,0.23797199,0.82809365
road_110.jpg,0.20616032,0.92805004
road_111.jpg,0.14936706,1.00000000
road_112.jpg,0.13306953,1.00000000
road_113.jpg,0.10027832,1.00000000
road_114.jpg,0.10476696,1.00000000
road_115.jpg,0.09506643,1.00000000
road_116.jpg,0.07795531,1.00000000
road_117.jpg,0.04409724,1.00000000
road_118.jpg,0.05019316,1.00000000
road_119.jpg,0.04176506,1.00000000
